Sample   	OWR	           Timestamp
      536	0  	      529.000,000 us
      537	1  	       11.000,000 us
      538	0  	       56.000,000 us
      539	1  	       10.000,000 us
      540	0  	       57.000,000 us
      541	1  	       10.000,000 us
      542	0  	       57.000,000 us
      543	1  	       10.000,000 us
      544	0  	       56.000,000 us
      545	1  	       11.000,000 us
      546	0  	       56.000,000 us
      547	1  	       10.000,000 us
      548	0  	       57.000,000 us
      549	1  	       57.000,000 us
      550	0  	        8.000,000 us
      551	1  	       57.000,000 us
      552	0  	    2.910,000,000 ms
      553	1  	       57.000,000 us
      554	0  	        8.000,000 us
      555	1  	       10.000,000 us
      556	0  	       56.000,000 us
      557	1  	       10.000,000 us
      558	0  	       57.000,000 us
      559	1  	       10.000,000 us
      560	0  	       57.000,000 us
      561	1  	       10.000,000 us
      562	0  	       57.000,000 us
      563	1  	       10.000,000 us
      564	0  	       57.000,000 us
      565	1  	       56.000,000 us
      566	0  	        8.000,000 us
      567	1  	       10.000,000 us
      568	0  	    2.543,000,000 ms
      569	1  	       27.000,000 us
      570	0  	       39.000,000 us
      571	1  	       28.000,000 us
      572	0  	       39.000,000 us
      573	1  	       10.000,000 us
      574	0  	       57.000,000 us
      575	1  	       10.000,000 us
      576	0  	       57.000,000 us
      577	1  	       27.000,000 us
      578	0  	       40.000,000 us
      579	1  	       10.000,000 us
      580	0  	       57.000,000 us
      581	1  	       27.000,000 us
      582	0  	       39.000,000 us
      583	1  	       10.000,000 us
      584	0  	      563.000,000 us
      585	1  	       10.000,000 us
      586	0  	       57.000,000 us
      587	1  	       27.000,000 us
      588	0  	       39.000,000 us
      589	1  	       28.000,000 us
      590	0  	       39.000,000 us
      591	1  	       28.000,000 us
      592	0  	       39.000,000 us
      593	1  	       27.000,000 us
      594	0  	       40.000,000 us
      595	1  	       27.000,000 us
      596	0  	       40.000,000 us
      597	1  	       27.000,000 us
      598	0  	       39.000,000 us
      599	1  	       28.000,000 us
      600	0  	      545.000,000 us
      601	1  	       10.000,000 us
      602	0  	       56.000,000 us
      603	1  	       11.000,000 us
      604	0  	       56.000,000 us
      605	1  	       28.000,000 us
      606	0  	       39.000,000 us
      607	1  	       10.000,000 us
      608	0  	       57.000,000 us
      609	1  	       27.000,000 us
      610	0  	       40.000,000 us
      611	1  	       27.000,000 us
      612	0  	       40.000,000 us
      613	1  	       10.000,000 us
      614	0  	       56.000,000 us
      615	1  	       28.000,000 us
      616	0  	      545.000,000 us
      617	1  	       27.000,000 us
      618	0  	       39.000,000 us
      619	1  	       11.000,000 us
      620	0  	       56.000,000 us
      621	1  	       10.000,000 us
      622	0  	       57.000,000 us
      623	1  	       27.000,000 us
      624	0  	       40.000,000 us
